>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
regional,cy,daily,2017-01-06
regional,cy,daily,2017-01-07
regional,cy,daily,2017-01-08
regional,cy,daily,2017-01-09
regional,cy,daily,2017-01-10
regional,cy,daily,2017-01-11
regional,cy,daily,2017-01-12
regional,cy,daily,2017-01-13
regional,cy,daily,2017-01-14
regional,cy,daily,2017-01-15
regional,cy,daily,2017-01-16
regional,cy,daily,2017-01-17
regional,cy,daily,2017-01-18
regional,cy,daily,2017-01-19
regional,cy,daily,2017-01-20
regional,cy,daily,2017-01-21
regional,cy,daily,2017-01-22
regional,cy,daily,2017-01-23
regional,cy,daily,2017-01-24
regional,cy,daily,2017-01-25
regional,cy,daily,2017-01-26
regional,cy,daily,2017-01-27
regional,cy,daily,2017-01-28
regional,cy,daily,2017-01-29
regional,cy,daily,2017-01-30
regional,cy,daily,2017-01-31
regional,cy,daily,2017-02-01
regional,cy,daily,2017-02-02
regional,cy,daily,2017-02-03
regional,cy,daily,2017-02-04
regional,cy,daily,2017-02-05
regional,cy,daily,2017-02-06
regional,cy,daily,2017-02-07
regional,cy,daily,2017-02-08
regional,cy,daily,2017-02-09
regional,cy,daily,2017-02-10
regional,cy,daily,2017-02-11
regional,cy,daily,2017-02-12
regional,cy,daily,2017-02-13
regional,cy,daily,2017-02-14
regional,cy,daily,2017-02-15
regional,cy,daily,2017-02-16
regional,cy,daily,2017-02-17
regional,cy,daily,2017-02-18
regional,cy,daily,2017-02-19
regional,cy,daily,2017-02-20
regional,cy,daily,2017-02-21
regional,cy,daily,2017-02-22
regional,cy,daily,2017-02-23
regional,cy,daily,2017-02-24
regional,cy,daily,2017-02-25
regional,cy,daily,2017-02-26
regional,cy,daily,2017-02-27
regional,cy,daily,2017-02-28
regional,cy,daily,2017-03-01
regional,cy,daily,2017-03-02
regional,cy,daily,2017-03-03
regional,cy,daily,2017-03-04
regional,cy,daily,2017-03-05
regional,cy,daily,2017-03-06
regional,cy,daily,2017-03-07
regional,cy,daily,2017-03-08
regional,cy,daily,2017-03-09
regional,cy,daily,2017-03-10
regional,cy,daily,2017-03-11
regional,cy,daily,2017-03-12
regional,cy,daily,2017-03-13
regional,cy,daily,2017-03-14
regional,cy,daily,2017-03-15
regional,cy,daily,2017-03-16
regional,cy,daily,2017-03-17
regional,cy,daily,2017-03-18
regional,cy,daily,2017-03-19
regional,cy,daily,2017-03-20
regional,cy,daily,2017-03-21
regional,cy,daily,2017-03-22
regional,cy,daily,2017-03-23
regional,cy,daily,2017-03-24
regional,cy,daily,2017-03-25
regional,cy,daily,2017-03-26
regional,cy,daily,2017-03-27
regional,cy,daily,2017-03-28
regional,cy,daily,2017-03-29
regional,cy,daily,2017-03-30
regional,cy,daily,2017-03-31
regional,cy,daily,2017-04-01
regional,cy,daily,2017-04-02
regional,cy,daily,2017-04-03
regional,cy,daily,2017-04-04
regional,cy,daily,2017-04-05
regional,cy,daily,2017-04-06
regional,cy,daily,2017-04-07
regional,cy,daily,2017-04-08
regional,cy,daily,2017-04-09
regional,cy,daily,2017-04-10
regional,cy,daily,2017-04-11
regional,cy,daily,2017-04-24
regional,cy,daily,2017-04-25
regional,cy,daily,2017-04-26
regional,cy,daily,2017-04-27
regional,cy,daily,2017-04-28
regional,cy,daily,2017-04-29
regional,cy,daily,2017-04-30
regional,cy,daily,2017-05-01
regional,cy,daily,2017-05-02
regional,cy,daily,2017-05-03
regional,cy,daily,2017-05-04
regional,cy,daily,2017-05-05
regional,cy,daily,2017-05-06
regional,cy,daily,2017-05-07
regional,cy,daily,2017-05-08
regional,cy,daily,2017-05-09
regional,cy,daily,2017-05-10
regional,cy,daily,2017-05-11
regional,cy,daily,2017-05-12
regional,cy,daily,2017-05-13
regional,cy,daily,2017-05-14
regional,cy,daily,2017-05-15
regional,cy,daily,2017-05-16
regional,cy,daily,2017-05-17
regional,cy,daily,2017-05-18
regional,cy,daily,2017-05-19
regional,cy,daily,2017-05-20
regional,cy,daily,2017-05-21
regional,cy,daily,2017-05-22
regional,cy,daily,2017-05-23
regional,cy,daily,2017-05-24
regional,cy,daily,2017-05-25
regional,cy,daily,2017-05-26
regional,cy,daily,2017-05-27
regional,cy,daily,2017-05-28
regional,cy,daily,2017-05-29
regional,cy,daily,2017-06-01
regional,cy,daily,2017-06-03
regional,cy,daily,2017-06-04
regional,cy,daily,2017-06-05
regional,cy,daily,2017-06-06
regional,cy,daily,2017-06-07
regional,cy,daily,2017-06-08
regional,cy,daily,2017-06-09
regional,cy,daily,2017-06-10
regional,cy,daily,2017-06-11
regional,cy,daily,2017-06-12
regional,cy,daily,2017-06-13
regional,cy,daily,2017-06-14
regional,cy,daily,2017-06-15
regional,cy,daily,2017-06-16
regional,cy,daily,2017-06-17
regional,cy,daily,2017-06-18
regional,cy,daily,2017-06-19
regional,cy,daily,2017-06-20
regional,cy,daily,2017-06-21
regional,cy,daily,2017-06-22
regional,cy,daily,2017-06-23
regional,cy,daily,2017-06-24
regional,cy,daily,2017-06-25
regional,cy,daily,2017-06-26
regional,cy,daily,2017-06-27
regional,cy,daily,2017-06-28
regional,cy,daily,2017-06-29
regional,cy,daily,2017-06-30
regional,cy,daily,2017-07-01
regional,cy,daily,2017-07-02
regional,cy,daily,2017-07-03
regional,cy,daily,2017-07-04
regional,cy,daily,2017-07-05
regional,cy,daily,2017-07-06
regional,cy,daily,2017-07-07
regional,cy,daily,2017-07-08
regional,cy,daily,2017-07-09
regional,cy,daily,2017-07-10
regional,cy,daily,2017-07-11
regional,cy,daily,2017-07-12
regional,cy,daily,2017-07-13
regional,cy,daily,2017-07-14
regional,cy,daily,2017-07-15
regional,cy,daily,2017-07-16
regional,cy,daily,2017-07-17
regional,cy,daily,2017-07-18
regional,cy,daily,2017-07-19
regional,cy,daily,2017-07-20
regional,cy,daily,2017-07-21
regional,cy,daily,2017-07-22
regional,cy,daily,2017-07-23
regional,cy,daily,2017-07-24
regional,cy,daily,2017-07-25
regional,cy,daily,2017-07-26
regional,cy,daily,2017-07-27
regional,cy,daily,2017-07-28
regional,cy,daily,2017-07-29
regional,cy,daily,2017-07-30
regional,cy,daily,2017-08-01
regional,cy,daily,2017-08-02
regional,cy,daily,2017-08-03
regional,cy,daily,2017-08-04
regional,cy,daily,2017-08-05
regional,cy,daily,2017-08-23
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
regional,cy,daily,2017-01-06
regional,cy,daily,2017-01-07
regional,cy,daily,2017-01-08
regional,cy,daily,2017-01-09
regional,cy,daily,2017-01-10
regional,cy,daily,2017-01-11
regional,cy,daily,2017-01-12
regional,cy,daily,2017-01-13
regional,cy,daily,2017-01-14
regional,cy,daily,2017-01-15
regional,cy,daily,2017-01-16
regional,cy,daily,2017-01-17
regional,cy,daily,2017-01-18
regional,cy,daily,2017-01-19
regional,cy,daily,2017-01-20
regional,cy,daily,2017-01-21
regional,cy,daily,2017-01-22
regional,cy,daily,2017-01-23
regional,cy,daily,2017-01-24
regional,cy,daily,2017-01-25
regional,cy,daily,2017-01-26
regional,cy,daily,2017-01-27
regional,cy,daily,2017-01-28
regional,cy,daily,2017-01-29
regional,cy,daily,2017-01-30
regional,cy,daily,2017-01-31
regional,cy,daily,2017-02-01
regional,cy,daily,2017-02-02
regional,cy,daily,2017-02-03
regional,cy,daily,2017-02-04
regional,cy,daily,2017-02-05
regional,cy,daily,2017-02-06
regional,cy,daily,2017-02-07
regional,cy,daily,2017-02-08
regional,cy,daily,2017-02-09
regional,cy,daily,2017-02-10
regional,cy,daily,2017-02-11
regional,cy,daily,2017-02-12
regional,cy,daily,2017-02-13
regional,cy,daily,2017-02-14
regional,cy,daily,2017-02-15
regional,cy,daily,2017-02-16
regional,cy,daily,2017-02-17
regional,cy,daily,2017-02-18
regional,cy,daily,2017-02-19
regional,cy,daily,2017-02-20
regional,cy,daily,2017-02-21
regional,cy,daily,2017-02-22
regional,cy,daily,2017-02-23
regional,cy,daily,2017-02-24
regional,cy,daily,2017-02-25
regional,cy,daily,2017-02-26
regional,cy,daily,2017-02-27
regional,cy,daily,2017-02-28
regional,cy,daily,2017-03-01
regional,cy,daily,2017-03-02
regional,cy,daily,2017-03-03
regional,cy,daily,2017-03-04
regional,cy,daily,2017-03-05
regional,cy,daily,2017-03-06
regional,cy,daily,2017-03-07
regional,cy,daily,2017-03-08
regional,cy,daily,2017-03-09
regional,cy,daily,2017-03-10
regional,cy,daily,2017-03-11
regional,cy,daily,2017-03-12
regional,cy,daily,2017-03-13
regional,cy,daily,2017-03-14
regional,cy,daily,2017-03-15
regional,cy,daily,2017-03-16
regional,cy,daily,2017-03-17
regional,cy,daily,2017-03-18
regional,cy,daily,2017-03-19
regional,cy,daily,2017-03-20
regional,cy,daily,2017-03-21
regional,cy,daily,2017-03-22
regional,cy,daily,2017-03-23
regional,cy,daily,2017-03-24
regional,cy,daily,2017-03-25
regional,cy,daily,2017-03-26
regional,cy,daily,2017-03-27
regional,cy,daily,2017-03-28
regional,cy,daily,2017-03-29
regional,cy,daily,2017-03-30
regional,cy,daily,2017-03-31
regional,cy,daily,2017-04-01
regional,cy,daily,2017-04-02
regional,cy,daily,2017-04-03
regional,cy,daily,2017-04-04
regional,cy,daily,2017-04-05
regional,cy,daily,2017-04-06
regional,cy,daily,2017-04-07
regional,cy,daily,2017-04-08
regional,cy,daily,2017-04-09
regional,cy,daily,2017-04-10
regional,cy,daily,2017-04-11
regional,cy,daily,2017-04-24
regional,cy,daily,2017-04-25
regional,cy,daily,2017-04-26
regional,cy,daily,2017-04-27
regional,cy,daily,2017-04-28
regional,cy,daily,2017-04-29
regional,cy,daily,2017-04-30
regional,cy,daily,2017-05-01
regional,cy,daily,2017-05-02
regional,cy,daily,2017-05-03
regional,cy,daily,2017-05-04
regional,cy,daily,2017-05-05
regional,cy,daily,2017-05-06
regional,cy,daily,2017-05-07
regional,cy,daily,2017-05-08
regional,cy,daily,2017-05-09
regional,cy,daily,2017-05-10
regional,cy,daily,2017-05-11
regional,cy,daily,2017-05-12
regional,cy,daily,2017-05-13
regional,cy,daily,2017-05-14
regional,cy,daily,2017-05-15
regional,cy,daily,2017-05-16
regional,cy,daily,2017-05-17
regional,cy,daily,2017-05-18
regional,cy,daily,2017-05-19
regional,cy,daily,2017-05-20
regional,cy,daily,2017-05-21
regional,cy,daily,2017-05-22
regional,cy,daily,2017-05-23
regional,cy,daily,2017-05-24
regional,cy,daily,2017-05-25
regional,cy,daily,2017-05-26
regional,cy,daily,2017-05-27
regional,cy,daily,2017-05-28
regional,cy,daily,2017-05-29
regional,cy,daily,2017-06-01
regional,cy,daily,2017-06-03
regional,cy,daily,2017-06-04
regional,cy,daily,2017-06-05
regional,cy,daily,2017-06-06
regional,cy,daily,2017-06-07
regional,cy,daily,2017-06-08
regional,cy,daily,2017-06-09
regional,cy,daily,2017-06-10
regional,cy,daily,2017-06-11
regional,cy,daily,2017-06-12
regional,cy,daily,2017-06-13
regional,cy,daily,2017-06-14
regional,cy,daily,2017-06-15
regional,cy,daily,2017-06-16
regional,cy,daily,2017-06-17
regional,cy,daily,2017-06-18
regional,cy,daily,2017-06-19
regional,cy,daily,2017-06-20
regional,cy,daily,2017-06-21
regional,cy,daily,2017-06-22
regional,cy,daily,2017-06-23
regional,cy,daily,2017-06-24
regional,cy,daily,2017-06-25
regional,cy,daily,2017-06-26
regional,cy,daily,2017-06-27
regional,cy,daily,2017-06-28
regional,cy,daily,2017-06-29
regional,cy,daily,2017-06-30
regional,cy,daily,2017-07-01
regional,cy,daily,2017-07-02
regional,cy,daily,2017-07-03
regional,cy,daily,2017-07-04
regional,cy,daily,2017-07-05
regional,cy,daily,2017-07-06
regional,cy,daily,2017-07-07
regional,cy,daily,2017-07-08
regional,cy,daily,2017-07-09
regional,cy,daily,2017-07-10
regional,cy,daily,2017-07-11
regional,cy,daily,2017-07-12
regional,cy,daily,2017-07-13
regional,cy,daily,2017-07-14
regional,cy,daily,2017-07-15
regional,cy,daily,2017-07-16
regional,cy,daily,2017-07-17
regional,cy,daily,2017-07-18
regional,cy,daily,2017-07-19
regional,cy,daily,2017-07-20
regional,cy,daily,2017-07-21
regional,cy,daily,2017-07-22
regional,cy,daily,2017-07-23
regional,cy,daily,2017-07-24
regional,cy,daily,2017-07-25
regional,cy,daily,2017-07-26
regional,cy,daily,2017-07-27
regional,cy,daily,2017-07-28
regional,cy,daily,2017-07-29
regional,cy,daily,2017-07-30
regional,cy,daily,2017-08-01
regional,cy,daily,2017-08-02
regional,cy,daily,2017-08-03
regional,cy,daily,2017-08-04
regional,cy,daily,2017-08-05
regional,cy,daily,2017-08-23
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
>>>>>>
